probe_name,visual_area,presentation_type,interval_start,interval_end,max_phi,max_phi_state,total_distinctions,total_integrated_information_distinctions,total_cause_information,total_effect_information,total_relations,total_integrated_information_relations,faces_1_9,faces_10_30,faces_30_plus
probe_773463015,VISam,flashes,1,50,4.504989450779205,"[1, 1, 1]",7,1.7662996420308,4.503651705191405,3.2966598285203337,43,2.7386898087482927,27,10,6
probe_773463015,VISam,flashes,51,100,3.7553188204671217,"[0, 0, 0]",7,1.6370701175231,4.328190946843168,4.893701528941111,32,2.118248702944062,24,7,1
probe_773463015,VISam,flashes,101,150,3.5907102011014196,"[1, 1, 1]",7,1.6769393512449,3.722992617536126,4.118448666325748,38,1.913770849856642,28,8,2
probe_773463015,VISam,flashes,151,200,3.4447180239627504,"[0, 0, 1]",7,1.6551626633591001,4.293211049509483,4.017295575377529,37,1.7895553606035985,21,10,6
probe_773463015,VISam,static_gratings,1,50,3.429473317191799,"[1, 0, 0]",7,1.6764441172136997,3.6904122360613445,3.7489323896433517,42,1.7530291999781207,38,4,0
probe_773463015,VISam,static_gratings,51,100,3.479449754184691,"[1, 0, 0]",7,1.6934319683610002,4.715896585387389,3.7776098147284394,47,1.786017785823625,35,10,2
probe_773463015,VISam,static_gratings,101,150,3.686865971752143,"[1, 1, 1]",7,1.7489660740981001,4.11760162858682,4.201829669420184,54,1.9378998976540642,47,7,0
probe_773463015,VISam,static_gratings,151,200,3.572431029370125,"[1, 0, 1]",7,1.7276834897648,3.505994514991806,4.145197018260618,35,1.8447475396053874,25,8,2
probe_773463015,VISam,gabors,1,50,3.86734889495059,"[1, 1, 1]",7,1.8538511812609997,5.410009466099806,4.356568884249949,53,2.0134977136896492,53,0,0
probe_773463015,VISam,gabors,51,100,3.7267275077139566,"[1, 1, 1]",7,1.8123910637699998,4.239131239237098,4.678328867791617,54,1.9143364439439543,41,11,2
probe_773463015,VISam,gabors,101,150,4.05985150967515,"[0, 0, 0]",7,1.8271422098190995,4.279471993496728,4.306512623065371,63,2.2327092998560185,42,18,3
probe_773463015,VISam,gabors,151,200,3.5967960105396473,"[1, 1, 1]",7,1.7493533068642,4.830514613457375,4.310598244236891,55,1.8474427036753853,37,12,6
probe_773463015,VISam,natural_scenes,1,50,3.895665633571465,"[1, 1, 0]",7,1.8804546633331003,5.229528530263961,4.810913921206817,45,2.015210970238353,42,3,0
probe_773463015,VISam,natural_scenes,51,100,4.542301603921517,"[0, 0, 0]",7,1.9594361133662002,5.328814864797137,5.121250665578571,55,2.5828654905554047,37,12,6
probe_773463015,VISam,natural_scenes,101,150,3.9890968624709138,"[0, 1, 1]",7,1.9247623394857,4.722739022370252,5.4086965741592525,32,2.064334522985173,26,5,1
probe_773463015,VISam,natural_scenes,151,200,4.035782649500012,"[0, 0, 0]",7,1.9057798739687,5.562087013320202,5.121136131363638,43,2.130002775531481,25,12,6
probe_773463015,VISam,natural_move_one,1,50,3.8168945618734016,"[1, 0, 0]",7,1.8407948615336998,5.320794790969966,4.667983166547915,47,1.9760997003397052,31,13,3
probe_773463015,VISam,natural_move_one,51,100,3.957726810537852,"[1, 1, 0]",7,1.8676314391493,4.485564651941221,4.998916872572025,47,2.0900953713885273,38,8,1
probe_773463015,VISam,natural_move_one,101,150,3.8912648796464033,"[0, 0, 1]",7,1.9034354012017,4.676345335879499,4.329484285191775,55,1.9878294784446908,35,13,7
probe_773463015,VISam,natural_move_one,151,200,4.074495698696262,"[0, 0, 1]",7,1.9418053151898,5.522504377852046,4.654951352092124,53,2.1326903835065423,53,0,0
probe_773463015,VISam,natural_move_three,1,50,4.1101348282905885,"[1, 1, 0]",7,1.9657625157542997,4.8790111197279415,4.045686624924029,61,2.144372312536295,54,7,0
probe_773463015,VISam,natural_move_three,51,100,4.124599803941315,"[0, 1, 1]",7,2.0049785710351,4.553989334588149,5.272743753633722,32,2.119621232906154,25,6,1
probe_773463015,VISam,natural_move_three,101,150,4.178729509489264,"[0, 1, 1]",7,2.0029012218256,6.3024818958134174,6.149813025644459,47,2.1758282876635797,36,10,1
probe_773463015,VISam,natural_move_three,151,200,4.137326840945488,"[0, 0, 0]",7,1.9710503213919,4.891590363117775,4.335089831294196,49,2.1662765195535356,45,4,0
probe_773463015,VISam,flashes,1,50,4.870321890868192,"[1, 1, 1]",7,1.7651034816047,4.43936012726357,4.338332803634911,47,3.105218409263529,29,12,6
probe_773463015,VISam,flashes,51,100,3.965580156765034,"[0, 0, 0]",7,1.649460141902,4.147587492806832,4.5831585273623245,47,2.316120014863076,29,12,6
probe_773463015,VISam,flashes,101,150,3.524257491316806,"[0, 0, 0]",7,1.6122025147208,3.785285124789377,4.23308746509165,62,1.9120549765960428,55,7,0
probe_773463015,VISam,flashes,151,200,3.528470819117744,"[1, 1, 1]",7,1.6717726142143,4.161766231123485,3.3460435491092353,50,1.8566982049034337,40,10,0
probe_773463015,VISam,static_gratings,1,50,3.6295820339692946,"[1, 1, 1]",7,1.7226359085498997,4.543231265952246,4.902453588942578,55,1.9069461254195013,43,11,1
probe_773463015,VISam,static_gratings,51,100,3.4911923813260133,"[1, 1, 1]",7,1.7016769035575001,4.301663368611145,4.602995899437808,35,1.789515477768524,35,0,0
probe_773463015,VISam,static_gratings,101,150,3.585728503207186,"[0, 0, 1]",7,1.7151974116098998,3.971972337898719,3.8318966852082896,54,1.8705310915973277,41,11,2
probe_773463015,VISam,static_gratings,151,200,3.624944264923712,"[0, 1, 0]",7,1.7199245573595001,4.198997868352487,4.63709749814743,63,1.9050197075642152,31,22,10
probe_773463015,VISam,gabors,1,50,3.6543564507121014,"[1, 1, 0]",7,1.7774145431396,4.607511620680946,3.9773799526346867,40,1.8769419075725202,30,8,2
probe_773463015,VISam,gabors,51,100,3.8331541205062347,"[0, 0, 1]",7,1.8196218488027,4.861915731820664,4.453969428924109,43,2.013532271703526,27,10,6
probe_773463015,VISam,gabors,101,150,3.8288992072056893,"[0, 1, 0]",7,1.8347349861489,4.862713260070432,4.8388291699231685,55,1.9941642210567687,38,14,3
probe_773463015,VISam,gabors,151,200,3.7744481934471503,"[1, 0, 1]",7,1.8329045662179004,4.063838620683308,3.599835404721531,53,1.9415436272291626,47,6,0
probe_773463015,VISam,natural_scenes,1,50,4.423920170080962,"[0, 0, 0]",7,1.9591629168361,4.814448980114077,5.505525787619927,63,2.4647572532448336,39,18,6
probe_773463015,VISam,natural_scenes,51,100,3.835729107192841,"[0, 1, 1]",7,1.8661132619505003,4.756589410256738,4.8694556116888,55,1.9696158452423176,38,14,3
probe_773463015,VISam,natural_scenes,101,150,3.9184485247910192,"[0, 0, 0]",7,1.8785629426939,4.706642139640621,4.220911248657423,43,2.039885582097109,27,10,6
probe_773463015,VISam,natural_scenes,151,200,4.226411859870879,"[0, 0, 0]",7,1.9332734188557001,4.5773082954911315,4.639974328957624,55,2.2931384410151257,34,17,4
